Year,Team,Player,G,W,L,IP,ERA,FIP,WHIP,K%,BB%,HR/9,BABIP,V_R_ERA,V_R_WHIP,V_R_AVG,V_R_OBP,V_L_ERA,V_L_WHIP,V_L_AVG,V_L_OBP
2025,KIA,전상현,23,3,2,18.1,5.89,4.45,1.64,14.1,9.4,0.49,0.339,6.10,1.55,0.318,0.362,5.63,1.75,0.267,0.378
2025,KIA,이준영,22,1,0,12.1,4.38,3.73,1.46,27.5,5.9,1.46,0.406,9.00,1.33,0.308,0.308,3.00,1.56,0.324,0.378
2025,KIA,곽도규,9,0,0,4.0,13.50,7.14,2.25,22.7,27.3,0.00,0.333,27.00,4.50,0.333,0.600,12.00,1.67,0.111,0.467
2025,KIA,임기영,7,0,1,5.1,15.19,9.32,3.19,9.4,12.5,3.38,0.500,10.80,3.30,0.500,0.579,22.50,3.00,0.455,0.500
2025,KIA,윤영철,5,0,5,14.0,9.64,6.76,2.64,11.4,19.0,0.64,0.396,4.15,2.08,0.258,0.442,19.80,3.20,0.444,0.516
2025,KIA,김건국,11,0,0,14.1,7.53,5.84,1.88,15.7,12.9,1.26,0.340,1.93,1.50,0.188,0.349,18.00,2.40,0.462,0.462
2025,KIA,이형범,6,0,0,5.2,14.29,4.23,3.35,8.3,11.1,0.00,0.536,13.50,3.00,0.526,0.522,16.20,4.20,0.500,0.583
2025,NC,라일리,10,6,2,58.2,3.07,3.07,1.04,32.6,9.6,0.92,0.244,3.38,0.83,0.151,0.223,3.00,1.30,0.211,0.300
2025,NC,로건,10,2,5,53.2,3.35,4.27,1.34,15.8,10.4,0.34,0.268,4.22,1.44,0.248,0.336,2.25,1.25,0.203,0.314
2025,NC,신민혁,8,1,3,37.2,5.02,4.85,1.35,14.2,6.2,1.20,0.293,8.36,1.79,0.355,0.385,2.74,1.04,0.202,0.269
2025,NC,손주환,19,4,1,18.2,3.38,4.27,1.07,16.0,10.7,0.48,0.204,1.93,0.54,0.129,0.156,5.00,1.44,0.229,0.325
2025,NC,목지훈,6,2,2,26.2,5.74,5.80,1.61,20.0,15.8,1.35,0.282,6.57,1.46,0.239,0.340,5.54,1.85,0.265,0.410
2025,NC,류진욱,18,1,0,19.0,3.32,6.01,1.16,16.5,8.9,1.90,0.212,3.68,1.23,0.233,0.303,3.38,1.22,0.222,0.317
2025,NC,한재승,12,0,0,11.1,3.18,5.27,2.12,16.7,22.2,0.00,0.364,5.06,2.06,0.211,0.423,1.50,2.00,0.318,0.444
2025,NC,김녹원,3,0,0,8.0,5.63,4.61,1.50,11.1,13.9,0.00,0.259,9.82,1.36,0.154,0.313,2.45,1.91,0.313,0.389
2025,NC,김진호,21,0,0,18.1,4.42,5.77,1.36,20.0,17.5,0.98,0.196,7.11,2.37,0.200,0.459,3.18,0.88,0.162,0.244
2025,NC,김태훈,2,0,0,2.0,0.00,3.86,0.50,0.0,0.0,0.00,0.111,0.00,1.50,0.250,0.250,0.00,0.00,0.000,0.000
2025,NC,배재환,13,0,1,11.0,4.91,3.34,1.45,19.6,13.7,0.00,0.273,0.00,1.40,0.200,0.304,10.13,1.69,0.238,0.360
2025,NC,김태현,4,0,0,2.2,10.13,13.39,2.63,6.7,20.0,3.38,0.375,27.00,9.00,1.000,1.000,7.71,1.71,0.250,0.455
2025,NC,임상현,1,0,0,1.0,18.00,13.46,5.00,0.0,37.5,0.00,0.400,13.50,3.00,0.333,0.500,27.00,9.00,0.500,0.750
2025,NC,신영우,2,0,0,1.2,16.20,10.46,3.60,18.2,36.4,0.00,0.500,18.00,4.00,0.500,0.667,13.50,3.00,0.000,0.600
2025,NC,이준혁,2,0,0,2.2,10.13,12.79,2.63,0.0,0.0,6.75,0.417,5.40,1.80,0.429,0.429,54.00,12.00,0.800,0.800
2025,NC,최우석,3,0,0,3.2,7.36,5.12,2.45,9.5,14.3,0.00,0.400,0.00,0.86,0.125,0.222,20.25,5.25,0.556,0.636
2025,NC,김재열,18,0,1,16.2,4.32,6.55,1.98,16.3,16.3,1.62,0.340,4.32,1.92,0.313,0.410,4.70,2.09,0.333,0.432
2025,NC,최성영,12,2,2,23.1,5.40,4.75,1.46,15.0,6.0,1.16,0.333,9.90,1.50,0.333,0.357,1.42,1.34,0.277,0.333
2025,NC,이용찬,3,0,2,9.2,10.24,5.82,2.17,19.6,15.7,0.93,0.400,14.54,1.62,0.353,0.429,7.71,3.00,0.333,0.500
2025,NC,김민규,6,0,0,3.0,12.00,5.16,2.67,5.9,17.6,0.00,0.385,16.20,4.20,0.500,0.583,6.75,0.75,0.000,0.200
2025,NC,전사민,20,2,3,20.2,6.53,5.66,1.79,10.0,10.0,0.87,0.329,4.50,2.25,0.314,0.442,7.30,1.46,0.294,0.333
2025,NC,김시훈,12,0,0,12.0,9.00,5.72,1.92,12.1,10.3,1.50,0.349,7.20,2.80,0.381,0.519,8.10,1.20,0.286,0.276
2025,NC,김태경,3,0,0,4.1,12.46,10.90,3.23,17.2,20.7,4.15,0.429,11.57,1.71,0.300,0.364,16.20,6.00,0.500,0.688
