Year,Team,Player,PA,AVG,OBP,SLG,wRC+,K%,BB%,BABIP,SB RAA,SB,SB%,RAVG,ROBP,RSLG,LAVG,LOBP,LSLG,UAVG,UOBP,USLG
2025,롯데,유강남,81,0.358,0.438,0.522,179.0,24.7,9.9,0.468,0.00,0,,0.364,0.473,0.568,0.348,0.360,0.435,0.250,0.400,1.000
2025,롯데,레이예스,145,0.326,0.366,0.447,123.1,14.5,6.9,0.372,0.09,3,75.0,0.348,0.382,0.457,0.275,0.326,0.425,0.300,0.308,0.300
2025,롯데,나승엽,142,0.286,0.394,0.546,166.8,16.2,14.1,0.300,0.00,0,,0.313,0.408,0.578,0.222,0.364,0.472,0.250,0.357,0.500
2025,롯데,윤동희,92,0.275,0.370,0.413,126.3,19.6,12.0,0.333,0.19,2,100.0,0.281,0.388,0.386,0.261,0.320,0.478,0.100,0.471,0.100
2025,롯데,황성빈,106,0.340,0.390,0.381,123.6,13.2,5.7,0.398,0.58,10,83.3,0.342,0.390,0.382,0.333,0.391,0.381,0.400,0.400,0.400
2025,롯데,전준우,132,0.274,0.359,0.398,114.8,13.6,11.4,0.305,0.18,1,100.0,0.341,0.434,0.463,0.097,0.125,0.226,0.375,0.375,0.500
2025,롯데,이호준,38,0.242,0.342,0.485,139.0,21.1,7.9,0.320,0.01,0,,0.259,0.333,0.556,0.167,0.375,0.167,0.000,0.111,0.000
2025,롯데,장두성,53,0.283,0.313,0.304,66.1,9.4,3.8,0.317,-0.96,2,40.0,0.316,0.350,0.342,0.125,0.125,0.125,0.429,0.429,0.429
2025,롯데,김민성,85,0.219,0.329,0.288,79.2,11.8,11.8,0.242,-0.44,0,0.0,0.213,0.304,0.295,0.250,0.438,0.250,0.417,0.417,0.417
2025,롯데,고승민,102,0.273,0.360,0.307,95.7,15.7,11.8,0.333,-0.11,2,66.7,0.246,0.338,0.292,0.348,0.423,0.348,0.667,0.750,0.667
2025,롯데,정훈,73,0.254,0.315,0.388,91.7,21.9,8.2,0.320,0.01,0,,0.261,0.333,0.435,0.238,0.273,0.286,0.571,0.700,0.714
2025,롯데,한태양,12,0.400,0.500,0.500,197.1,16.7,16.7,0.500,0.31,2,100.0,0.333,0.455,0.333,1.000,1.000,2.000,0.500,0.500,0.500
2025,롯데,김동혁,0,,,,,,,,-0.27,1,50.0,,,,,,,,,
2025,롯데,최항,2,0.000,0.000,0.000,-139.6,50.0,0.0,0.000,0.00,0,,0.000,0.000,0.000,,,,,,
2025,롯데,정보근,59,0.241,0.293,0.370,75.0,22.0,5.1,0.300,0.01,0,,0.220,0.278,0.320,0.500,0.500,1.000,0.200,0.200,0.200
2025,롯데,손호영,70,0.238,0.304,0.254,57.1,18.6,5.7,0.300,0.00,0,,0.261,0.333,0.261,0.176,0.222,0.235,0.400,0.500,0.400
2025,롯데,이인한,0,,,,,,,,0.00,0,,,,,,,,,,
2025,롯데,박준우,0,,,,,,,,,0,,,,,,,,,,
2025,롯데,정철원,0,,,,,,,,,0,,,,,,,,,,
2025,롯데,박진,0,,,,,,,,,0,,,,,,,,,,
2025,롯데,구승민,0,,,,,,,,,0,,,,,,,,,,
2025,롯데,정현수,0,,,,,,,,,0,,,,,,,,,,
2025,롯데,김원중,0,,,,,,,,,0,,,,,,,,,,
2025,롯데,강성우,0,,,,,,,,-0.43,0,0.0,,,,,,,,,
2025,롯데,박재엽,1,0.000,0.000,0.000,-149.0,100.0,0.0,,,0,,0.000,0.000,0.000,,,,,,
2025,롯데,조세진,2,0.000,0.000,0.000,-149.0,100.0,0.0,,,0,,0.000,0.000,0.000,0.000,0.000,0.000,,,
2025,롯데,박승욱,10,0.000,0.100,0.000,-83.7,50.0,0.0,0.000,0.00,1,100.0,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.500,0.000
2025,KT,로하스,145,0.259,0.393,0.440,137.3,22.1,18.6,0.309,-0.42,0,0.0,0.215,0.370,0.418,0.351,0.444,0.486,0.000,0.455,0.000
2025,KT,허경민,116,0.301,0.371,0.350,103.0,10.3,9.5,0.330,-0.01,0,,0.294,0.355,0.324,0.314,0.400,0.400,0.200,0.200,0.400
2025,KT,천성호,36,0.241,0.389,0.345,122.8,13.9,13.9,0.292,-0.43,0,0.0,0.269,0.424,0.385,0.000,0.000,0.000,0.250,0.400,0.500
2025,KT,권동진,53,0.356,0.412,0.444,143.9,22.6,9.4,0.471,0.00,0,,0.351,0.419,0.459,0.375,0.375,0.375,0.286,0.286,0.286
